Venue_Name,Bedroom,Minimum_Price,Maximum_Price,Guest_Include,Venue_Type,Dining_Capacity,Reciption_Capacity,Stablished
Lisle Combe Country House,,Country House,36,40,,,,
The Old Market,,City Hotel,150,,,,,
The Baskerville Arms,,Pub,70,120,11,,,
Harvington Hall,,Country House,50,50,,,,
Aylesbury Vale Golf Club,,Golf Course,100,140,,,,
Haynes Motor Museum,,Museum,220,1900,,,,
The Red Barn,,Barn,140,200,1900,,,
Calcutta Brasserie,,Pub,100,200,,,,
The Gun,,Sporting Venue,120,300,,,,
The Alhambra Theatre,,Theatre,240,300,1900,,,
The Devil's Punchbowl Hotel,,120,120,32,64,Standard Room,,
Lady Margaret's Medieval Hall,2,Town Hall,36,36,Changing Only,2008,More than 50,
Heathland Grove,,Garden,500,500,,,,
Homewood ,11:00 AM,£71,120,120,21,42,Honeymoon Suite,
Haselbury Mill,,Barn,250,21,Honeymoon Suite,,,
Bath Spa University,,Stately Home,300,300,,,,
Park Farm Country Hotel,,101,150,,,,,
The Refectory at Guildford Cathedral,,Events Space,200,300,8:00 AM,12:00 AM,1900,
Scarborough Spa Complex,,Garden,100,120,09:00 AM,01:00 AM,,
"The Guildhall, Leicester",5,Museum,90,90,1390,More than 50,Yes,
Tettenhall College,,150,200,,,,,
Belgrave Hall and Gardens,,Country House,120,120,,,,
Shibden Hall,,Country House,45,45,,,,
The Spire,,1900,,,,,,
Aviator Hotel,,100,150,,,,,
Marsden Mechanics Hall,,Community Hall,,,,,,
"Talbot Hotel, Southport",,80,120,22,45,Standard Room,,
"The Swan, Surrey",,Pub,50,50,1900,,,
Park Plaza Westminster Bridge,,1350,5000,1900,,,,
62 Castle Street Hotel,,80,150,,,,,
The Oakwood Hall Hotel,,Country House,130,,,,,
"Spring Grove House, Worcestershire",,Country House,200,200,9:00 AM,1:00 AM,1900,
Masonic Hall The Arnold House at Rugby,,Place Of Worship,180,Between 10 and 30,Yes,,,
Burgh Hall,,200,250,,,,,
West Bromwich Albion Football Club,,Sporting Venue,250,280,,,,
The Croft Hotel,12:00 AM,160,250,24,48,Honeymoon Suite,12:00 PM,
The Valley Suites,,Conference Centre,650,650,,,,
Five Bells,,Pub,80,80,,,,
Mosimann's Dining Club,,Club,110,1900,,,,
Brockenhurst Village Hall,Between 10 and 30,Multi Room & Hall,150,300,Changing Only,08:00 AM,12:00 PM,
Dormer Wells,,,,,,,,
Grace Hall,,2017,Less than 10,,,,,
The York and Albany,,Pub,76,200,,,,
The Bald Faced Stag,,Pub,120,,,,,
The Old Church,,Place Of Worship,80,120,,,,
Tufton Arms Hotel,,120,120,,,,,
Ryecroft Hall,,Country House,120,120,,,,
Wallasey Masonic Hall,,Hall,100,100,,,,
The Royal County of Berkshire Polo Club,,Sporting Venue,,,,,,
Georgian House Hotel and Restaurant,,City Hotel,60,60,8,16,Honeymoon Suite,
Taychreggan Hotel,,70,70,Standard Room,1900,,,
The Riverside House Hotel,,City Hotel,150,275,,,,
Hollycombe Working Steam Museum,,Museum,,,,,,
The Chantry,,Restored chapel ,80,08:00 AM,08:00 PM,More than 50,,
Liphook Millennium Centre,,City Hotel,180,180,,,,
One Park Crescent,,Conference Centre,300,400,,,,
Pype Hayes Golf Course,,Golf Course,100,150,1900,,,
Brighton Racecourse,,Sporting Venue,250,500,,,,
Griggs Restaurant,,Pub,150,05:30 PM,,,,
Wilderhope Manor,,Country House,120,120,1900,,,
Alexander's,,City Hotel,150,,,,,
Cole Court,,City Hotel,100,120,,,,
Drayton Park Golf Club,,Golf Course,250,250,,,,
Tofte Manor,,Country House,50,,,,,
Quality Hotel- Stonebridge Manor Hotel,,110,150,1900,,,,
Gravesend Old Town Hall,,Town Hall,170,200,,,,
Sway Manor Hotel and Restaurant,,50,Standard Room,,,,,
People's History Museum,,Museum,100,200,,,,
Stradsett Events,,Stately Home,80,120,,,,
"The Crown, London Bow",,Pub,50,80,1900,,,
Sea Containers Events,,City Hotel,150,1900,,,,
Burton Albion Football Club,,Sporting Venue,250,280,07:00 PM,01:00 AM,,
Pitt Farm,01:00 AM,Cottages,80,120,28,56,04:00 AM,
Tuppenny Barn,,Barn,80,120,1900,,,
Cape Cornwall Golf And Country Club,,Golf Course,120,120,15,,,
Highdown Vineyard,,Barn,120,160,11:00 PM,More than 50,Yes,
The Chiltern Hotel,,City Hotel,250,300,45,194,Standard Room,
Huntingdon Racecourse,,Sporting Venue,160,,,,,
Briar Court Hotel,,City Hotel,100,100,,,,
Lovelady Shield Country House Hotel,,Country House,40,50,,,,
The Castle at Donnington,,Castle,40,60,,,,
The Bustard Inn,,Pub,60,60,,,,
Stoke Mill,,Mill,100,175,,,,
Butlins Skyline,,Museum,310,500,,,,
The Clophill Centre,,Barn,,,,,,
Oakington Manor School,,Country House,400,750,,,,
Venue Cranfield,,City Hotel,160,200,10:00 am,12:30 am,1900,
Leander Club,,Sporting Venue,100,110,,,,
The White Lion,,Pub,50,100,3,1900,,
Blue Funnel Cruises,,Cruise,200,220,,,,
The Angel Hotel and Restaurant,,Pub,70,70,28,56,Standard Room,
Bossington House,,Country House,,,,,,
20 at The Kings,,City Hotel,30,,,,,
The Boathouse Putney,,Pub,65,100,,,,
Terrace Bar and Grill,,Pub,20,1900,,,,
Great Betley Farmhouse,,Honeymoon Suite,2019,Less than 10,Yes,2,,
Waterbridge Golf Course,,Golf Course,100,100,,,,
Upper Chapel,,Place Of Worship,120,120,,,,
Well Parc Hotel,,21,8,,,,,
SouthBank Club,,100,225,08:00 AM,12:00 AM,,,
The Clive Pavilion,,Sporting Venue,150,150,,,,
"The Grosvenor Hotel, Rugby",,90,150,,,,,
Tree Top Weddings,,Treehouse,15,15,1900,,,
Blakesley Hall,,Museum,50,60,1900,,,
Costessey Park Golf Club,,Golf Course,120,120,,,,
Chipping and District Memorial Hall,,Memorial Hall,250,250,,,,
Rugby Registry Office,,Town Hall,60,,,,,
Tiffanys Hotel,,100,115,230,1900,,,
The Boxmoor Lodge Hotel,,120,150,,,,,
"The Manor Hotel, Datchet",,Country House,120,200,,,,
Westbury Mayfair,,1900,,,,,,
The Angel City Lodge Hotel,,Lodge,75,100,38,,,
Roka Bella Rose Weddings @ Brenscombe ,,Garden,1900,,,,,
Southover House,,Country House,,,,,,
Crowne Plaza Royal Victoria Sheffield,,1862,,,,,,
Snape Maltings Concert Hall,,Concert Hall,830,830,,,,
Mansah,,Pub,700,700,1900,,,
"The Red Lion Hotel, Henley",,110,200,1900,,,,
Herstmonceux Castle,,Castle,,,,,,
Dudsbury Golf Club,,Golf Course,120,120,,,,
Stephen Joseph Theatre,,Museum,100,165,,,,
The Clarendon Suites,,Conference Centre,550,800,1900,,,
The Big Blue Hotel,,30,60,1900,,,,
The Days Hotel,,170,170,Standard Room,1900,,,
The Crown Spa Hotel in Scarborough,,160,160,Honeymoon Suite,,,,
St James's Memorial Hall,,Museum,105,200,,,,
Tremarne Hotel,01:00 AM,30,50,13,26,Honeymoon Suite,12:00 PM,
Burleigh Court,,40,220,Honeymoon Suite,1900,,,
Weybourne House. St Catherines. Guildford,,Country House,120,200,1900,,,
"Commercial Hotel, Penzance",,65,,,,,,
Poldark Mine,,Museum,100,100,,,,
Victory Services Club,,City Hotel,180,300,,,,
The Essex Barn,,Barn,200,200,1900,,,
Shirley Park Golf Club,,Golf Course,100,,,,,
Trevigue Weddings,1900,Country House,45,45,10,20,Standard Room,
The Castlefield Hotel,,250,1900,,,,,
Amelies Porthleven,,Pub,60,1900,,,,
Millgate House Hotel,,200,200,,,,,
The Market Hall,,Conference Centre,50,180,,,,
The Teesdale Hotel,,40,,,,,,
The Waverley,,Pub,80,120,1900,,,
"Marine Hotel, Whitstable",,120,150,,,,,
Thistle City Barbican,,City Hotel,150,150,1900,,,
South Gloucestershire Register Office,,More than 50,,,,,,
The Old Bell Inn,,Pub,150,150,,,,
The Pelham Suite,,City Hotel,140,250,,,,
Lea Rowing Club,,Sporting Venue,200,1900,,,,
Barham Court,,Country House,,,,,,
Louth Town Hall,,Town Hall,300,300,,,,
Wight Montrene Hotel,,80,110,1900,,,,
Church Street Hotel,,,,,,,,
Hickstead Showground,,,,,,,,
Alton Maltings Centre,,Conference Centre,150,300,,,,
Warren Lodge Hotel,,70,130,1900,,,,
The Keswick Hotel,,,,,,,,
Save the Date,,1900,,,,,,
Macdonald Botley Park Hotel & Spa,,Honeymoon Suite,1991,More than 50,Yes,2,,
The Malt House,2002,Pub,60,9,21,Standard Room,12:00 PM,
The Fowey Hotel,,240,1900,,,,,
Larkbeare House,,Garden,60,60,1900,,,
Elizabethan – Thames Luxury Charters ,,1900,,,,,,
"Crown Hotel, Coniston",,,,,,,,
Shortwood Lodge Golf Club,,,,,,,,
The Fair Green Hotel,,,,,,,,
Clifton College ,,Castle,,,,,,
Hayling Island Community Centre,5,Sporting Venue,08:00 AM,12:00 PM,1981,More than 50,Yes,
"Council Offices, Wallingford",,Town Hall,60,1900,,,,
"The Regency Hotel, Leicester",,City Hotel,120,120,32,64,Honeymoon Suite,
Broughton Hall - Eden,1900,£50,10,45,85,01:00 AM,01:00 AM,
Wolverhampton Racecourse and Conference Centre,,600,54,54,07:00 AM,01:00 AM,1900,
La Baia Hotel,,29,29,12,23,11:00 AM,11:00 AM,
Waddesdon Manor - National Trust,,Country House,110,160,1900,,,
The White Horse at Overstrand,,60,200,8,1900,,,
Williams Ale & Cider House,,Pub,85,200,,,,
"The Apollo Hotel, Birmingham",,City Hotel,120,150,126,,,
Hotel du Vin Stratford,£125,£15,£30,£85,£125,10,£85,
"The Manor House, Buntingford",,Country House,40,40,,,,
Dunes Family Entertainment Centre,,City Hotel,120,200,,,,
The Soul Camp: Strawberry Fields,,Garden,500,500,1900,,,
Thetford Grammar School,,50,,,,,,
"White House, Telford",,,,,,,,
Roman Camp Inn,,,,,,,,
"Cross Keys Hotel, Milnthorpe",,,,,,,,
Norden Farm Centre For The Arts,,Farm,270,,,,,
Reading Football Club and The Royal Berkshire Conference Centre,,1900,,,,,,
The Botanist Sloane Square,,1900,,,,,,
The Legacy Rose & Crown Hotel,,,,,,,,
Bridgnorth Town Council,,1900,,,,,,
The Chadwick Hotel,,140,140,73,1900,,,
The Queen Hotel,,1900,,,,,,
Winchester Cathedral,,Place Of Worship,400,600,,,,
Ye Olde White Harte Hotel,,Pub,,,,,,
Naworth Castle,,Castle,,,,,,
South Holland Centre,,,,,,,,
"The Pines, Bideford",,,,,,,,
Nottingham Registry Office,,1900,,,,,,
Fields for venues,,,,,,,,
Caspian Hotel,,,,,,,,
Old Selden Farm Barn Weddings,,Barn,Honeymoon Suite,2009,,,,
Southampton Register Office,,,,,,,,
Proud Cabaret Brighton ,,2012,More than 50,30,,,,
Midgley Lodge,,,,,,,,
Royal Adelaide Hotel ,,Honeymoon Suite,1900,,,,,
East Ayton Lodge,,,,,,,,
The Rose,,1900,More than 50,16,,,,
Great Ballard School,,,,,,,,
Royal Victoria Hotel ,12:00 PM,90,120,52,115,Honeymoon Suite,06:00 AM,
The Mulberry Inn,,,,,,,,
Hartlebury Parish Hall,,1900,,,,,,
The George at Abbots Leigh,,1900,,,,,,
Charlton Kings Hotel.,,,,,,,,
Bedford Lodge,,,,,,,,
Ramsbottom Civic Hall,,,,,,,,
Crockstead Fields - Festival Weddings,,1900,,,,,,
EverAfter Events,,1900,,,,,,
The St Mawes Hotel,,,,,,,,
"Beyond Events, University of Hull",,1900,,,,,,
The Midland Hotel,,1900,,,,,,
Weddings Under One Roof,,1900,,,,,,
Edwardian – Thames Luxury Charters,,1900,,,,,,
The Nags Head Hotel,,,,,,,,
Shrewsbury Abbey,,1900,,,,,,
The Ned,,,,,,,,
The Anchor,,,,,,,,
Torbay Registry Office,,1900,,,,,,
Hendra Barns,,Barn,,,,,,
Callow Hall,,£98,Country House,150,16,32,Standard Room,
One Great George Street,City Hotel,£87,£95,60,"£3,500","£7,000",60,
"National Museum of the Royal Navy, Hartlepool",12:00 AM,"£1,000","£5,995",80,Museum,80,100,
The Royal Pavilion,,Garden,90,100,1996,Yes,,
Shooters Hill Hall Weddings and Events,5,£60,£85,50,Country House,150,200,2015
Cameron Ventures Group Ltd.,,1900,,,,,,
The Coniston Hotel and Country Estate,1900,£89,£109,20,150,250,1:30 AM,
The Humber Bridge Country Hotel,,1900,,,,,,
8 Northumberland Avenue,100,£155,£155,200,City Hotel,400,700,More than 50
sWAMP cIRCUS,,1900,,,,,,
Abc,,1900,,,,,,
Dazyz lounge,,1900,,,,,,
Lydford Country House,,,,,,,,
Ingleside House,,,,,,,,
White Horse Lodge Hotel,,,,,,,,
Tom Thumb Theatre,,,,,,,,
W Hotel,,£15,£30,City Hotel,110,300,Yes,
Leasowe Castle Hotel,94,£70,£86,Castle,240,250,47,
The Richmond Hotel,,City Hotel,150,250,152,Yes,,
Bentley's,12:00 AM,£40,£80,15,Pub,60,100,40
Selsdon Park Hotel & Golf Club,200,£85,£132,40,City Hotel,350,450,
Narborough Hall,,£40,Country House,150,200,5,Yes,
The Haycock Hotel LLP,Honeymoon Suite,£75,£135,48,316,316,48,
Sussex County Cricket Ground,08:00 AM,£55,£75,50,Sporting Venue,240,500,40
Eagle House Hotel,45,£10,£55,10,100,150,22,10
116 Pall Mall,11:00 AM,£130,£185,100,City Hotel,250,1500,10
Chetham's School of Music,2014,City Hotel,80,100,Changing Only,09:00 AM,12:00 PM,
Christchurch Harbour Hotel,,100,120,Yes,,,,
Rowton Castle Hotel,,Castle,110,150,Yes,,,
30 James Street - Home of The Titanic,7,£70,£98,City Hotel,210,220,63,More than 50
Rye Hill Barn,More than 50,£50,50,Barn,200,200,1994,
The Sapphire Suite,Changing Only,£20,£50,200,City Hotel,400,400,6
Preston Manor,,Country House,100,350,Yes,,,
Best Western Lion Hotel,46,£35,£75,40,City Hotel,110,160,More than 50
Little Hallingbury Mill,,46,70,Yes,,,,
Stapeley House Weddings,Less than 10,Country House,350,450,09:00 AM,01:00 AM,2015,
"Mercure Bristol, Brigstow Hotel",116,£35,£60,100,City Hotel,70,70,
The Montague On The Gardens,Honeymoon Suite,£60,£115,"£5,000",150,150,100,
The Plaza Stockport,01:00 AM,£15,£35,Theatre,90,250,09:30 AM,
Valentines Mansion,More than 50,Country House,100,100,09:00 AM,11:00 PM,2009,
Chafford Park,,Barn,200,200,,,,
"The Atrium, Whittlebury Park Golf & Country Club",,Golf Course,400,400,1900,Yes,,
Liverpool Philharmonic Hall,,£24,£29,City Hotel,160,1700,Yes,
Mannings Heath Golf and Wine Estate,4,£70,£98,40,Golf Course,110,180,50
Queens Head Inn,22,£49,£99,30,80,80,10,12
The Bull's Head Hotel,09:00 AM,Pub,80,180,15,33,Honeymoon Suite,
Albright Hussey Manor Hotel,,Country House,200,250,26,52,More than 50,
The Pennoyer Centre,Changing Only,£19,£60,50,Conference Centre,75,75,
South Causey,,"£1,245","£12,466",160,200,Standard Room,Yes,
Steeton Hall,Yes,£114,£188,Country House,80,150,10,
Durham Masonic Hall,10:00 AM,£37,£60,20,Hall,100,100,
Guyers House Hotel,,82,150,Yes,,,,
Colchester Garrison Officers Club,,City Hotel,120,200,Yes,,,
Gravetye Manor,,Country House,60,80,17,01:00 AM,,
The Cotswold Plough Hotel and Restaurant,,60,60,Yes,,,,
Royal Beacon Hotel,2,"£2,995","£8,995",60,90,160,52,
Burghley House,,Country House,110,160,Yes,,,
Chichester Cathedral,,Place Of Worship,120,150,,,,
The Cavendish,,Country House,250,250,Yes,,,
The Rock Inn Hotel,1900,£35,£50,10,120,120,27,
The Elegance Banqueting Suite ,"£4,000",£15,£25,£15,£25,100,"£2,800",01:00 AM
Packford's Hotel,Yes,£19,£57,City Hotel,100,130,9,
The Royal Bath Hotel & Spa,140,£50,£98,30,"£1,500","£9,999",30,1838
Stockwood Discovery Centre,Changing Only,£12,£50,50,Museum,80,250,3
"The Great Barn, Exeter",Honeymoon Suite,£40,Barn,190,250,6,13,
Moor Park Golf Club,1923,Country House,132,250,Changing Only,02:00 PM,12:00 AM,
Weddings at The Lost Orangery,More than 50,Country House,100,250,4,Standard Room,2001,
Egypt Mill Hotel and Restaurant,,£20,100,150,Yes,,,
"The Old Rectory, Denton",,Country House,150,,,,,
Hotel Cafe  Royal,09:00 AM,£205,70,120,230,160,Honeymoon Suite,
Morton Society,150,£50,£150,20,"£5,000","£15,000",100,
Georgian Hotel & Spa,90,£40,£100,60,120,150,42,
Alton Community Centre,5,Community Centre,200,250,1975,More than 50,Yes,
Bramall Park Golf Club,,Golf Course,120,130,1894,,,
The Warren,,£120,Country House,200,300,,,
Croxteth Hall,,Town Hall,80,120,Yes,,,
Davenport House,More than 50,Country House,84,150,12,32,Honeymoon Suite,
Lineham Farm,12:00 PM,Country House,100,150,47,Honeymoon Suite,02:00 PM,
The Monterey Beach Hotel,69,£8,£27,50,90,100,32,Between 30 and 50
Kuti's Royal Thai Pier,Changing Only,£27,£45,30,Pub,200,200,Yes
Harewood House,,Stately Home,80,200,,,,
The Bluecoat,,Arts Centre,90,250,08:00 PM,12:30 AM,,
Brook Marston Farm Hotel,,130,200,10:00 am,12:00 am,1900,Yes,
Stirrups Country House Hotel,,Country House,120,150,Yes,,,
Sefton Park Palm House,,Greenhouse/Conservatory,220,400,Yes,,,
Colchester Castle,,Castle,80,200,Yes,,,
The Cricketers,2016,"£3,000",Pub,68,100,11:00 AM,11:00 PM,
Merley House,,Country House,80,150,Changing Only,,,
Everton Football Club,,Sporting Venue,120,140,1900,,,
Caistor Hall Hotel,Honeymoon Suite,£16,£30,100,250,20,40,Yes
"The Rag, Army and Navy Club",06:00 AM,£150,City Hotel,119,200,75,Honeymoon Suite,80
Old Hall Hotel,,90,150,,,,,
Eastwood Hall,Standard Room,£63,80,Country House,240,300,150,
The Black Horse,Less than 10,Pub,90,100,11:00 AM,11:00 PM,2016,
Cattows Farm,,Garden,120,,,,,
Mint Leaf Lounge and Restaurant,1900,£40,£100,1,Pub,100,300,
"Quy Mill Hotel & Spa, Cambridge",,"£4,500",106,180,51,Honeymoon Suite,,
Stantonbury Leisure Centre,,Sporting Venue,500,07:00 AM,Between 30 and 50,Yes,,
Muntham House School,,Country House,40,,,,,
Oakwood House,,£30,Country House,250,350,Yes,,
Worsley Arms Hotel,1999,Country House,65,150,20,40,Standard Room,
The Westmead Hotel,,Barn,200,250,56,,,
Brick House Farm,,£33,£55,Country House,150,150,,
Laughern Hill,,City Hotel,175,175,,,,
Haweswater Hotel,,40,60,,,,,
Boscundle Manor,,£39,£59,Country House,100,,,
Crucible Theatre,,Museum,120,500,,,,
Fazeley Studios,,£57,Studio offices,150,225,,,
Chipstead Golf Club,,£15,£50,Golf Course,100,150,,
Creeksea Place,,£40,Country House,60,230,Yes,,
Chelsea Old Town Hall,,Town Hall,180,140,,,,
The Athenaeum,,£35,£60,City Hotel,110,130,,
The Victoria,2016,"£3,000",Pub,70,150,11:00 AM,11:00 PM,
Homewood Park Hotel and Spa,12:00 PM,£54,£80,Country House,110,110,12:00 PM,
The Inn at Fossebridge,,£40,Pub,40,70,1900,,
The Sun Inn,2014,"£3,000",Pub,68,100,11:00 AM,11:00 PM,
Yeldersley Hall,,Country House,80,,,,,
Driffield Showground,,Museum,350,,,,,
Peak Edge Hotel at The Red Lion,,£66,25,Country Hotel ,100,,,
Parley Manor Weddings,,Country House,150,200,,,,
Alma De Cuba,,Pub,160,400,Yes,,,
Bradbourne House,,Country House,120,200,,,,
The Barley Mow,2016,"£3,000",Pub,60,100,11:00 AM,11:00 PM,
The Mercure Salisbury White Hart Hotel,,100,140,1900,Yes,,,
"The Grange Hotel, York",,£59,75,120,41,Yes,,
Coq D'Argent,,Pub,150,300,12:00 PM,,,
Hollins Hall Hotel & Country Club,,Country House,120,200,122,1900,Yes,
The Fleece Countryside Inn,7,"£2,400","£8,400",40,Pub,110,300,More than 50
"Cedar Court Hotel, Bradford",1900,£40,£48,Barn,550,800,1:00 am,
Cavendish Banqueting Suite,Changing Only,£19,£25,150,City Hotel,400,500,
Swallows Rest,,Garden,200,10,20,Honeymoon Suite,10:30 AM,
Stover School,,Country House,250,250,,,,
Newby Hall,,Country House,80,80,,,,
Prideaux Place,,Country House,80,Standard Room,07:30 AM,12:00 PM,Between 30 and 50,
Chartridge Park Golf Club,,£25,£33,Golf Course,130,130,,
Statham Lodge Country House Hotel,,£75,£130,Country House,200,250,37,
The Pavilion at Branston Golf and Country Club,Yes,£50,"£3,500",Golf Course,200,250,Changing Only,
Westwood Country Hotel,45,£50,£103,Country House,120,200,20,Yes
The Yacht Club Liverpool,,£32,£65,Cruise,120,150,1900,
Cobden Hotel Birmingham,,£13,£18,City Hotel,150,150,,
Sanctum On The Green,18,£25,£100,10,120,120,9,Yes
Thurlaston Country Park,,Garden,200,200,,,,
"Cedar Court Hotel, Wakefield",,£13,£52,City Hotel,300,300,,
The Gore Hotel,,60,120,Yes,,,,
Epstein House,,£5,City Hotel,70,120,Yes,,
Chandos House,,£79,City Hotel,110,150,Yes,,
Ellesmere Sports Club,,Sporting Venue,100,100,1886,,,
Royal George Hotel,,£30,£70,100,1900,,,
Villiers Hotel,48,£75,£108,60,City Hotel,180,180,
French Brothers,,£65,£180,30,Cruise,62,150,
Sheffield Botanical Gardens,,Garden,80,80,11:00 PM,,,
Newstead Priory,,£48,£60,Country House,125,125,,
The Bold Hotel,,£10,£50,City Hotel,200,200,,
Salmestone Grange,,Country House,80,140,2,4,Standard Room,
Stancliffe Hall,More than 50,Country House,100,150,8,16,Honeymoon Suite,
London Film Museum,,Museum,200,400,,,,
St James's Hotel and Club,Honeymoon Suite,£205,City Hotel,40,60,60,120,
The Poachers Country Hotel,,110,200,14,Yes,,,
The Bringewood,,Barn,60,120,,,,
The Tytherington Golf and Country Club,1900,£19,£38,60,Golf Course,150,200,
Foxholes Farm,,Farm cottages,140,24,,,,
The Belvedere,,Pub,120,,,,,
The Post House Stafford,1:00 AM,£22,£2,Country House,90,200,6:00 AM,
"Civic Hall, Essex",,Town Hall,432,996,Yes,,,
Groomes Country House,,Country House,50,,,,,
At-Bristol,,Museum,240,460,,,,
The Haymeadow ,,Garden,200,250,1900,,,
Claxton House Hotel,,125,125,,,,,
One Belgravia,,City Hotel,200,400,1900,,,
Clawson Lodge,,£10,£62,50,Wedding Venue,120,250,
The Great Hall,,Museum,160,200,1900,,,
Wellshurst Golf and Country Club,,£20,£38,Golf Course,120,120,1900,
Village Inn,,Pub,100,,,,,
"Crown Hotel, Wells-next-the-Sea",,£28,£41,100,,,,
The Narrow Boat at Weedon,2,£10,£21,Pub,150,150,7,Yes
Studley Castle,Standard Room,£115,40,Castle,100,100,57,
"The Swan, Tarporley",,£35,£53,Pub,80,100,,
Exeter Golf and Country Club,02:00 AM,£69,£79,50,Golf Course,70,200,
The Charles Bathurst Inn,,Pub,70,120,19,,,
The Forge Venue and Foundry Restaurant,,£40,£55,Pub,150,300,,
Peruga at Woodheys,,£20,£100,Pub,100,150,,
Henley Town Hall,,Town Hall,210,,,,,
Royal Nawaab Manchester,,Pub,600,750,,,,
Abney Public Hall,,Public Hall,200,300,,,,
"Emirates Old Trafford, Home Of Lancashire County Cricket Club",,£36,Sporting Venue,900,740,1900,,
"Mandarin Oriental, Hyde Park",03:00 PM,City Hotel,400,600,198,400,Honeymoon Suite,
The Arkwright Centre,,Conference Centre,150,200,12:00 AM,12:00 PM,Yes,
Turk Launches,,Cruise,86,150,Yes,,,
The Ryde Castle Hotel,,Castle,120,200,1900,,,
"The Coach House, Brighton",,Pub,75,100,12:00 AM,12:00 PM,Yes,
Southcrest Manor Hotel and Spa,,Country House,80,200,12:30 AM,1900,Yes,
iDo The Country Wedding Company,,£12,£48,Garden,,,,
Long Sutton Golf Club,,£30,,,,,,
Coombe Wood Golf Club,,Golf Course,110,,,,,
Church House Conference Centre,,Conference Centre,664,664,,,,
Brasted's,,Pub,150,200,Yes,,,
Grassington House Hotel,,46,60,,,,,
Chequers Hotel,,£40,Country Hotel,170,240,,,
Gwel an Mor Events Barn,,Barn,110,200,,,,
Ganton Inn,,£8,£18,,,,,
Chancellors Hotel,,City Hotel,120,120,,,,
Cheshire Conference & Event,,£30,Conference Centre,450,450,,,
The Parkbury Hotel,,£25,£30,80,110,,,
Tawny Owl,,Pub,120,160,,,,
Somerset House,,City Hotel,100,1500,,,,
"Ardencote Manor Hotel, Country Club & Spa",,£58,40,Country House,120,150,,
Portsmouth Guildhall,,£52,Town Hall,120,120,Changing Only,,
Porth Avallen Hotel,,£34,£40,100,100,,,
Hatherley Manor Hotel,,£42,£99,Country House,350,400,,
"The Deck, National Theatre",11:00 PM,£89,50,City Hotel,170,100,09:30 AM,
The Groucho Club,12:00 AM,City Hotel,60,350,20,40,Honeymoon Suite,3
Wethele Manor Farm,,£30,Country House,200,200,,,
Abbey Farm B&B,01:00 AM,110,135,3,6,Honeymoon Suite,12:00 PM,
"The Talbot Hotel, Oundle",,£16,Pub,100,120,,,
Hadley Park House Hotel,,City Hotel,120,200,,,,
1 Lombard Street Restaurant Bar,,£80,£150,Pub,200,400,,
Thornton Hall Hotel and Health Club,,500,500,1900,,,,
Jenners Barn,,Barn,140,220,,,,
Mount Pleasant Ecological Park,,Garden,120,200,,,,
"The Falcon Hotel, Bude",,1900,,,,,,
Upchurch River Valley Golf Course,,£50,£65,Golf Course,130,160,,
The Pines Hotel & Restaurant,,£40,Pub,300,300,,,
Three Crowns Inn,,£70,£120,20,150,1900,,
Beeston Fields,,Golf Course,100,150,Changing Only,09:00 AM,More than 50,
Bath Lodge Castle,,Castle,40,200,24,Yes,,
Runcorn Town Hall,,Town Hall,100,,,,,
The Woodstock,,Pub,160,250,,,,
The Magic Circle,,Museum,80,162,,,,
The White Hart Hotel,,£49,£98,40,60,20,1900,
Cotswold Edge Golf Club,,Golf Course,150,200,,,,
The Liscawn Hotel,08:00 AM,Country Hotel,80,120,12,36,Honeymoon Suite,
"The Red Lion Hotel, Salisbury",12:00 pm,90,120,60,120,Honeymoon Suite,11:00 am,
"The Horseshoe Inn, Herstmonceux",,Pub,150,200,,,,
The Barn Hotel And Conference Centre,,£16,20,City Hotel,65,120,73,
Broughton Craggs Hotel,,£14,£29,600,100,150,,
"The Swan Hotel, Suffolk",,£50,40,45,1900,,,
The Old Rose and Crown Hotel,,£17,£37,110,140,11,,
Lydiard House Conference Centre,,£50,£100,Conference Centre,120,150,1900,
The Newbury Manor Hotel,,Country House,150,250,8:00 am,12:00 am,1900,
Netherstowe House,Standard Room,£45,£115,30,30,16,32,
Springhead Mill And Lakeside Gardens,,Garden,50,100,,,,
Ye Olde Plough House,,Country House,160,150,,,,
"The Wheatsheaf Inn, Cheshire",,Pub,60,100,,,,
Healing Manor Hotel,12:00 AM,Country House,120,150,37,Honeymoon Suite,08:00 AM,
Savill Court Hotel,,City Hotel,450,450,,,,
Centre Stage The Hire Venue,,£30,Hire Venue,100,120,Invalid date,1900,
Furzedown Hotel,,£12,£40,,,,,
The Brook Hotel,,£16,£27,140,140,,,
Cotswold Lodge Hotel,,£10,10,100,100,,,
Coombes Barn,,Barn,200,300,More than 50,,,
Wharton Park Golf & Country Club,,£30,£100,Golf Course,170,240,,
Malmaison Hotel Manchester,1900,£89,40,City Hotel,80,150,167,
The Waterhead Boutique Hotel and Bistro,,80,1900,,,,,
"The Feathers Hotel, Ludlow",,70,90,,,,,
Mango Tree,,£38,£88,Pub,180,350,,
Colchester Arts Centre,,Museum,120,250,,,,
Gatwick Manor,,£57,Country House,120,200,,,
The Gainsborough Bath Spa,,City Hotel,40,100,Honeymoon Suite,,,
Rookley Country Park,,£22,£25,Garden,,,,
Andel Lodge Hotel - Restaurant,,£550,£700,100,150,,,
Woodbury Park Hotel and Golf Club,,£75,Golf Course,500,,,,
